[25-Mar-2025 06:25:55 Europe/Berlin] PHP Notice:  Undefined variable: conn in C:\xampp\htdocs\agrisys\aims\modules\auth\login.php on line 8
[25-Mar-2025 06:25:55 Europe/Berlin] PHP Fatal error:  Call to a member function prepare() on null in C:\xampp\htdocs\agrisys\aims\modules\auth\login.php on line 8
[25-Mar-2025 06:30:38 Europe/Berlin] PHP Notice:  Undefined variable: conn in C:\xampp\htdocs\agrisys\aims\modules\auth\login.php on line 8
[25-Mar-2025 06:30:38 Europe/Berlin] PHP Fatal error:  Call to a member function prepare() on null in C:\xampp\htdocs\agrisys\aims\modules\auth\login.php on line 8
[25-Mar-2025 06:48:25 Europe/Berlin] PHP Notice:  Undefined variable: conn in C:\xampp\htdocs\agrisys\aims\modules\auth\login.php on line 8
[25-Mar-2025 06:48:25 Europe/Berlin] PHP Fatal error:  Call to a member function prepare() on null in C:\xampp\htdocs\agrisys\aims\modules\auth\login.php on line 8
[25-Mar-2025 06:56:01 Europe/Berlin] PHP Fatal error:  Call to a member function fetch_row() on boolean in C:\xampp\htdocs\agrisys\aims\dashboard.php on line 21
[25-Mar-2025 06:56:03 Europe/Berlin] PHP Fatal error:  Call to a member function fetch_row() on boolean in C:\xampp\htdocs\agrisys\aims\dashboard.php on line 21
[25-Mar-2025 06:56:05 Europe/Berlin] PHP Fatal error:  Call to a member function fetch_row() on boolean in C:\xampp\htdocs\agrisys\aims\dashboard.php on line 21
[25-Mar-2025 06:56:06 Europe/Berlin] PHP Fatal error:  Call to a member function fetch_row() on boolean in C:\xampp\htdocs\agrisys\aims\dashboard.php on line 21
[25-Mar-2025 06:56:06 Europe/Berlin] PHP Fatal error:  Call to a member function fetch_row() on boolean in C:\xampp\htdocs\agrisys\aims\dashboard.php on line 21
[25-Mar-2025 06:56:07 Europe/Berlin] PHP Fatal error:  Call to a member function fetch_row() on boolean in C:\xampp\htdocs\agrisys\aims\dashboard.php on line 21
[25-Mar-2025 06:56:07 Europe/Berlin] PHP Fatal error:  Call to a member function fetch_row() on boolean in C:\xampp\htdocs\agrisys\aims\dashboard.php on line 21
